id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto74,coddpto,departamento74,departamento,codmpio74,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,19720002,5,,,SDC,0,0
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,,998,VOTOS NULOS,,,3,0
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,969,1
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,71,1
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,0,1
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,51,1
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,19720002,5,,,SDC,0,0
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,,998,VOTOS NULOS,,,2,0
719740012,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,19720001,1,,,UNION NACIONAL DE OPOSICION UNO,863,1
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,19720002,2,,,SDC,0,0
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,19749999,3,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,19610001,4,,,ALIANZA NAL POPULAR ANAPO,190,1
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,18480001,5,,,PARTIDO LIBERAL COLOMBIANO,3168,1
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,18490002,6,,,PARTIDO CONSERVADOR COLOMBIANO,409,1
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,,998,VOTOS NULOS,,,1,0
719740013,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,8152,1
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,751,1
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,52,1
719740014,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,93,1
