id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto70,coddpto,departamento70,departamento,codmpio70,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules,index,municipio_old
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,,998,,VOTOS NULOS,,,0,0,54,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,,999,,VOTOS EN BLANCO,,,0,0,55,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,45,0,58,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,1,1,AGUDELO,VILLA,HERNANDO,0,1,56,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,1,2,FERNANDEZ,SANTAMARIA,JORGE,0,1,57,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,5,0,61,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,2,1,ECHEVERRI,MEJIA,HERNANDO,0,1,59,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,2,2,ELEJALDE,TORO,BERNARDO,0,1,60,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,3,0,63,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,3,1,RESTREPO,ARBELAEZ,CARLOS,0,1,62,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,4,1,ESTRADA,V,FEDERICO,0,0,64,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,0,0,65,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,5,1,LENIS,C,PEDRO,0,0,66,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,0,0,67,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,6,1,RINCON,N,OSCAR,0,0,68,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,0,0,69,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,1,1,VALDERRAMA,AGUDELO,J EMILIO,0,0,70,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,193,0,72,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,1,2,OPSINA,HERNANDEZ,MARIANO,0,1,71,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,2,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0,74,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,2,1,GIRALDO,,ENRIQUE,0,1,73,ABRIAQUI
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5004,5004,ABRIAQUI,Departamental,18490002,3,,,,PARTIDO CONSERVADOR COLOMBIANO,115,0,77,ABRIAQUI
